ID,Name,Age,Gender,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level,School_Grade
1354,Bryan Blackwell,14,Male,4.2,8.1,85.0,9,2.3,5,2,9,1,0.9,85,17,2.7,3.0,0.8,Browsing,3,5.3,10.0,
1355,Emily Phelps,18,Male,7.2,6.7,62.0,7,1.1,7,6,3,1,1.0,32,15,3.2,0.2,1.9,Gaming,3,3.9,10.0,
1356,Joshua Benson,15,Male,4.4,4.7,80.0,9,1.4,10,5,10,0,1.2,146,12,3.0,1.9,1.2,Gaming,1,7.2,10.0,
1357,Gerald Sutton,19,Male,7.9,5.7,89.0,4,0.8,1,2,6,1,1.6,97,10,1.9,1.7,1.1,Social Media,10,4.9,10.0,
1358,Christine Ward,15,Other,4.7,4.7,51.0,7,0.0,4,7,9,0,1.2,140,10,2.4,0.0,0.5,Browsing,1,3.4,9.6,
1359,Brian Reynolds,14,Other,4.1,8.3,85.0,1,0.2,3,9,7,1,0.6,39,6,2.6,1.5,0.4,Gaming,1,5.9,6.0,
1360,Lauren Montgomery,16,Male,6.6,4.9,60.0,8,0.0,2,1,8,1,1.3,86,6,3.5,2.5,0.9,Social Media,6,5.0,10.0,
1361,Jeremy Wheeler,16,Female,5.9,9.1,72.0,0,1.2,2,4,6,1,1.0,108,18,3.1,0.0,1.4,Browsing,2,4.4,10.0,
1362,Ashley Foley,18,Female,7.8,8.6,60.0,1,0.5,7,4,2,1,1.7,80,6,4.0,1.4,0.7,Gaming,7,7.2,10.0,
1363,Bobby Sellers,18,Male,2.5,7.0,96.0,2,1.2,4,10,8,1,0.5,134,10,2.6,1.6,1.0,Social Media,2,5.8,7.9,
1364,Maria Peterson,16,Other,6.4,8.3,80.0,5,1.4,5,7,7,1,0.8,45,12,3.8,1.4,2.1,Social Media,7,5.6,10.0,
1365,Rhonda Cox,16,Other,4.2,7.5,75.0,1,2.6,4,4,10,0,1.4,72,16,0.6,1.4,1.2,Gaming,1,4.4,7.1,
1366,Richard Humphrey,14,Other,4.0,6.5,67.0,9,1.8,6,1,1,1,1.2,133,11,2.4,0.0,0.8,Social Media,1,5.5,8.0,
1367,Michael Blankenship,19,Other,6.4,5.0,90.0,7,0.8,8,4,1,0,0.8,121,16,1.8,1.0,1.9,Other,5,7.5,10.0,
1368,Nicholas Conley,16,Other,6.3,6.7,77.0,9,0.0,9,6,7,1,0.6,131,17,2.3,2.4,1.1,Browsing,2,3.7,10.0,
1369,Andrea Ramirez,18,Other,5.1,7.2,52.0,8,2.0,3,10,3,1,1.8,74,12,2.9,1.3,1.7,Gaming,1,6.1,9.6,
1370,Luis Krueger,19,Other,5.8,5.4,83.0,10,0.0,3,6,3,0,1.4,104,14,0.0,0.5,1.2,Social Media,1,4.9,8.5,
1371,Jeffrey Parker,15,Male,7.5,10.0,71.0,3,0.6,4,4,8,1,0.4,109,12,0.8,1.3,2.8,Other,1,10.0,9.2,
1372,Nancy Allen,16,Male,5.1,6.9,83.0,1,1.5,3,1,8,1,1.7,110,10,3.4,1.5,0.7,Gaming,2,6.0,10.0,
1373,Nicholas Lynch,15,Female,4.3,6.7,78.0,3,1.7,6,1,9,1,1.1,43,15,3.7,0.4,1.2,Education,3,7.0,8.9,
1374,Jennifer Hunt,13,Male,3.3,7.4,93.0,10,0.8,6,1,7,1,0.1,97,19,1.9,0.8,0.0,Other,10,2.4,8.0,
1375,Maria Sullivan,19,Female,2.9,7.0,75.0,5,0.4,2,1,5,1,1.3,34,20,0.7,2.1,0.5,Browsing,6,5.7,6.9,
1376,Linda Soto,19,Other,5.4,5.4,88.0,0,1.1,10,9,9,1,1.5,61,17,1.0,2.1,1.8,Gaming,5,4.9,10.0,
1377,Raymond Flowers,17,Male,1.4,4.9,94.0,10,0.2,7,10,3,1,1.0,61,11,4.0,0.1,1.6,Social Media,5,3.2,6.5,
1378,Nathan Rivera,13,Female,8.5,5.0,53.0,4,0.0,9,1,9,0,1.2,127,16,2.8,2.0,0.0,Education,5,5.7,10.0,
1379,Joseph Orr,19,Male,3.0,4.8,98.0,3,1.4,4,10,9,0,0.0,20,5,2.6,0.4,0.4,Gaming,10,9.3,5.0,
1380,Nicholas Powell,14,Male,4.8,6.5,51.0,1,0.7,9,2,3,0,1.4,146,16,2.0,3.0,1.5,Other,7,6.6,10.0,
1381,Omar Cohen,19,Male,3.3,6.8,90.0,4,1.0,6,5,2,0,1.1,36,9,0.9,0.8,0.4,Browsing,7,8.0,4.1,
1382,Tammy Wood,15,Male,4.8,4.9,91.0,0,3.0,4,10,10,0,1.3,71,8,3.9,2.9,0.8,Social Media,6,9.9,10.0,
1383,David Hill,16,Female,2.1,7.8,66.0,7,0.0,5,4,3,0,0.3,48,14,0.7,2.4,1.6,Social Media,2,8.2,5.1,
1384,Belinda Wilkerson,16,Female,6.0,7.1,55.0,2,0.0,9,9,10,0,0.5,134,20,1.5,2.2,0.0,Education,10,4.3,10.0,
1385,Michelle Jacobson,18,Male,6.9,6.9,91.0,7,0.0,3,10,6,0,0.7,130,18,3.5,0.5,0.3,Social Media,1,6.3,10.0,
1386,Deborah Rice,17,Male,7.1,5.3,51.0,7,1.8,2,9,5,1,0.9,148,10,2.0,0.9,1.6,Other,2,4.1,10.0,
1387,Cassandra Hinton,14,Male,3.4,5.8,73.0,8,2.0,6,10,7,0,1.2,128,14,2.4,1.7,1.9,Browsing,4,7.8,10.0,
1388,Jill Griffin,15,Other,10.1,6.2,93.0,6,0.9,1,2,4,1,1.3,133,20,1.5,2.1,1.2,Browsing,3,7.1,10.0,
1389,Gregory Johnson,19,Female,2.6,6.0,77.0,0,1.3,10,4,10,1,1.2,94,15,1.4,1.9,1.9,Browsing,9,6.7,7.8,
1390,Vanessa Hernandez,16,Male,5.3,8.7,91.0,2,2.2,6,7,8,1,1.1,146,15,2.3,2.5,1.0,Other,5,7.8,10.0,
1391,Sophia Hawkins,13,Other,2.0,6.1,55.0,7,0.0,1,9,9,0,1.6,87,19,2.2,0.0,1.3,Browsing,4,7.1,6.7,
1392,Robert Mccoy,18,Male,5.8,6.3,95.0,7,1.9,1,5,1,0,1.8,123,18,2.8,2.1,0.1,Social Media,9,5.8,10.0,
1393,Todd Nichols,17,Male,3.3,9.1,66.0,9,0.0,1,1,8,0,0.8,27,6,2.5,1.6,1.8,Other,10,7.2,4.6,
1394,Laura Burke,17,Other,5.9,6.6,54.0,10,1.6,10,10,6,1,1.1,29,12,2.2,0.0,0.2,Gaming,5,3.5,7.8,
1395,Nicole Lawrence,19,Male,5.6,3.9,89.0,5,1.5,3,3,4,1,1.0,100,19,3.5,2.1,0.0,Education,5,7.5,10.0,
1396,Jamie Costa,14,Male,5.0,8.7,93.0,8,0.0,7,5,2,1,1.3,119,15,1.4,2.0,1.5,Education,3,5.3,9.4,
1397,Taylor Mclaughlin,17,Other,4.4,5.3,55.0,2,1.5,3,5,7,1,0.9,120,12,2.0,2.1,1.5,Browsing,6,10.2,10.0,
1398,Barry Rose,19,Male,1.8,4.7,87.0,1,0.3,2,5,10,1,0.6,24,14,2.2,0.0,0.0,Social Media,9,5.7,4.9,
1399,John Thomas,15,Male,9.4,4.1,72.0,8,0.4,10,8,1,0,1.2,109,12,1.4,2.7,1.3,Other,3,7.9,10.0,
1400,Derrick Nguyen,14,Other,7.2,6.0,65.0,1,0.7,10,7,4,1,1.4,142,12,2.4,1.5,0.0,Education,10,4.9,10.0,
1401,Katelyn Pollard,14,Male,0.4,9.0,79.0,9,0.6,2,2,9,0,0.7,36,14,3.0,2.0,0.7,Education,7,8.5,4.4,
1402,Michael Hill,17,Female,2.3,5.6,60.0,6,0.7,2,5,4,0,1.0,149,18,0.8,1.8,0.4,Gaming,1,6.0,8.7,
1403,Tara Washington,17,Female,6.0,5.4,62.0,6,1.1,6,6,1,1,1.1,79,20,2.1,0.6,1.2,Education,7,5.2,10.0,
1404,Victor Hudson,13,Male,5.7,6.2,73.0,6,1.5,6,3,8,0,1.4,64,20,3.5,2.3,1.0,Other,8,7.4,10.0,
1405,Stacey Cooper,17,Other,1.4,6.9,56.0,10,1.6,7,5,4,0,1.1,103,7,1.9,0.0,1.4,Education,3,3.3,3.3,
1406,Robert Barnes,13,Male,5.5,7.0,73.0,10,0.5,1,4,8,1,1.1,102,16,2.8,1.4,1.8,Other,9,2.5,10.0,
1407,Kevin Thomas,19,Male,4.8,7.1,100.0,4,1.3,1,5,6,1,0.8,36,12,2.1,0.0,0.0,Education,3,5.1,6.5,
1408,Stacey Paul,15,Female,6.2,7.8,57.0,5,1.3,9,6,5,1,0.6,75,16,2.9,0.0,0.4,Other,3,5.4,9.9,
1409,Dean Jones,17,Other,4.7,5.9,56.0,4,0.7,6,4,8,1,0.8,73,5,2.1,2.5,0.9,Other,5,2.0,8.8,
1410,Ian Mooney,19,Male,5.9,6.5,75.0,2,0.1,6,3,3,0,1.2,63,7,2.8,1.4,0.4,Other,6,8.0,9.5,
1411,Kenneth Brown,16,Female,7.3,6.0,96.0,4,1.2,4,9,7,1,1.6,118,18,1.6,2.1,1.0,Browsing,5,6.0,10.0,
1412,Brandon Santiago,19,Female,0.0,8.8,95.0,10,1.9,6,1,5,1,0.6,21,18,3.6,1.4,1.0,Browsing,4,6.2,4.6,
1413,Rodney Jones,19,Other,6.1,6.5,92.0,7,0.7,10,10,6,0,1.2,103,17,1.5,2.4,0.6,Browsing,9,3.7,10.0,
1414,Jeffrey Lawrence PhD,19,Female,5.0,4.3,58.0,6,1.3,10,3,6,0,0.1,55,12,1.5,4.0,2.0,Education,7,6.2,10.0,
1415,Vanessa Bennett,17,Female,3.5,5.7,59.0,9,0.9,5,2,1,0,1.2,105,10,2.1,1.7,0.7,Gaming,9,6.6,8.5,
1416,Melanie Morgan,16,Female,4.4,4.1,96.0,5,1.6,10,7,1,0,1.8,90,12,2.0,1.0,1.2,Education,4,4.8,9.6,
1417,Samantha Brown,13,Other,5.1,6.2,84.0,3,1.0,7,5,2,1,0.2,22,18,2.2,2.3,0.9,Other,9,6.6,10.0,
1418,David Brown,16,Male,6.7,5.8,52.0,0,1.0,9,10,6,1,1.0,43,16,2.5,1.6,0.8,Other,9,5.5,10.0,
1419,Whitney Sanchez,17,Female,8.9,7.2,87.0,9,1.4,3,2,5,1,1.4,21,7,2.6,1.3,0.8,Education,4,5.9,10.0,
1420,Ashley Wagner,14,Other,3.9,8.8,80.0,3,0.1,10,3,1,1,0.8,81,20,3.2,1.5,1.7,Social Media,2,5.0,9.8,
1421,Aaron Leon,19,Female,6.3,7.9,76.0,3,2.0,9,2,9,1,0.7,140,20,2.8,2.6,0.0,Gaming,9,8.4,10.0,
1422,Christopher Preston,15,Male,5.2,3.0,54.0,5,1.8,6,2,6,0,1.3,95,12,1.4,2.8,1.1,Browsing,2,8.9,10.0,
1423,Mark Edwards,17,Male,1.6,5.8,79.0,4,2.0,4,9,6,1,0.9,126,6,3.1,0.1,0.0,Other,10,5.8,5.6,
1424,Alicia Smith,15,Male,3.6,4.4,66.0,1,0.6,3,8,7,0,1.5,61,12,1.1,0.3,0.3,Gaming,2,7.6,6.4,
1425,Valerie Briggs,19,Other,3.9,6.4,87.0,8,1.1,4,2,6,0,0.7,82,20,2.5,1.9,1.7,Gaming,2,3.0,10.0,
1426,Wendy Clayton,14,Other,3.7,5.1,56.0,1,1.7,1,10,2,1,0.8,99,6,1.7,1.7,1.6,Other,4,7.6,7.7,
1427,Katelyn Walker,15,Female,6.4,5.7,50.0,10,0.3,5,10,4,1,0.8,117,18,3.1,2.8,2.0,Other,1,1.9,10.0,
1428,Cynthia Gallagher,15,Other,2.7,4.7,69.0,10,0.0,1,8,4,0,1.4,59,14,1.9,1.2,1.0,Gaming,9,5.3,7.4,
1429,Darlene Pruitt,18,Female,8.7,7.6,63.0,1,1.2,8,10,8,0,1.7,142,16,1.3,0.1,0.0,Social Media,1,5.4,10.0,
1430,Kyle Berry,19,Female,6.4,5.1,93.0,5,0.5,4,9,1,1,1.5,112,13,1.0,1.0,0.0,Other,10,7.4,10.0,
1431,Cynthia Shaffer,16,Male,6.7,9.9,54.0,1,0.9,9,10,10,1,0.8,43,17,2.9,1.0,0.0,Education,3,8.7,9.9,
1432,Alfred Schmidt,14,Male,8.0,5.0,60.0,7,0.7,4,2,10,1,0.7,127,6,1.9,2.2,0.6,Browsing,2,5.2,10.0,
1433,Matthew Smith,16,Male,6.1,4.9,50.0,6,1.0,3,3,9,1,1.1,25,6,2.4,1.6,0.0,Gaming,10,2.5,9.3,
1434,Isaac Keller,17,Female,5.4,3.0,76.0,0,1.7,9,8,8,1,0.9,58,8,1.2,3.1,0.0,Gaming,9,4.3,10.0,
1435,John Smith,17,Other,5.3,5.7,75.0,9,0.0,5,8,10,1,1.9,33,6,2.2,1.0,2.1,Gaming,9,7.5,7.5,
1436,James Green DVM,19,Male,7.2,6.1,59.0,7,1.7,6,5,8,1,1.5,88,14,2.2,3.1,0.4,Social Media,4,9.3,10.0,
1437,Emily Meyer,16,Other,4.1,6.8,92.0,10,2.5,5,8,10,0,1.3,24,7,2.1,1.2,0.8,Browsing,5,6.7,5.9,
1438,Jaime Cisneros,18,Male,4.7,6.5,96.0,1,1.0,1,5,10,0,0.9,118,20,3.1,2.6,1.7,Browsing,3,6.6,10.0,
1439,Melissa Kent,15,Other,3.0,7.7,71.0,1,0.5,9,10,3,0,1.0,21,20,2.9,1.8,0.0,Browsing,7,3.8,8.3,
1440,Janice Fisher,17,Female,4.9,9.1,90.0,9,0.2,5,5,10,1,1.4,47,13,2.5,3.0,0.8,Browsing,6,5.4,9.4,
1441,Robert Russo,18,Other,5.6,7.8,53.0,0,1.2,8,5,1,0,0.5,65,9,3.5,1.4,0.3,Gaming,8,1.6,9.7,
1442,Becky Newman,17,Male,4.6,8.4,93.0,7,0.8,9,5,1,0,0.6,25,8,2.9,1.1,1.3,Education,4,4.6,6.5,
1443,Joseph Stevenson,15,Other,5.4,7.5,94.0,7,0.5,3,10,2,1,0.3,57,13,1.7,1.0,1.2,Gaming,2,4.6,8.1,
1444,Jessica Jackson,15,Male,7.0,5.7,90.0,10,0.4,8,10,7,0,1.2,117,7,5.0,0.1,2.2,Social Media,6,2.8,10.0,
1445,Alicia Williams,16,Other,7.3,4.9,58.0,2,0.7,10,4,7,0,0.6,42,17,3.4,2.1,0.6,Gaming,1,4.7,10.0,
1446,Christian Klein,14,Other,7.4,6.2,69.0,8,0.7,9,6,3,0,1.6,75,14,3.1,0.3,0.8,Education,2,9.4,10.0,
1447,Tara Martinez,18,Male,4.5,8.6,57.0,4,0.0,2,9,7,1,0.9,109,12,4.3,1.9,0.8,Other,6,5.5,10.0,
1448,Mary Jones,14,Female,2.6,6.5,51.0,3,0.9,4,8,2,1,1.4,28,15,2.8,1.7,1.8,Browsing,3,9.7,7.4,
1449,Jesse Burch,13,Female,5.9,4.4,73.0,5,0.2,10,1,6,0,1.0,94,10,3.4,1.1,0.9,Browsing,4,8.9,10.0,
1450,William Humphrey,19,Male,3.3,5.5,70.0,5,0.1,3,9,3,1,1.0,123,19,3.5,0.2,1.5,Gaming,2,6.8,10.0,
1451,Stephanie Rose,13,Male,6.3,4.9,55.0,5,0.2,1,1,6,0,1.1,128,15,1.8,2.0,0.6,Browsing,5,3.8,10.0,
1452,William Mendoza,13,Female,5.0,8.6,81.0,9,0.8,9,9,2,1,0.1,97,11,1.8,1.4,0.4,Other,10,4.7,8.0,
1453,Alyssa Ramirez,15,Male,0.3,6.5,90.0,4,1.4,5,9,9,0,0.0,81,15,1.8,2.5,1.3,Other,4,5.0,6.0,
1454,Jacqueline Nichols,19,Female,7.4,4.9,75.0,7,1.0,5,7,5,1,0.9,141,6,2.5,3.1,0.4,Gaming,9,5.0,10.0,
1455,Heather Smith DVM,13,Female,4.1,9.2,77.0,10,0.8,3,1,6,0,0.9,22,17,2.6,1.0,1.9,Gaming,2,1.0,6.9,
1456,Nicholas Jones,19,Male,5.8,8.5,67.0,4,2.1,5,9,1,1,0.6,73,14,3.1,2.4,1.1,Browsing,1,2.8,10.0,
1457,Jeffery Martinez,13,Other,6.7,5.6,83.0,10,1.3,10,4,7,0,1.4,107,7,2.4,1.3,0.8,Browsing,3,7.9,10.0,
1458,Claudia Lynch,15,Female,8.1,7.8,72.0,8,0.0,5,1,3,0,0.0,37,17,2.0,2.4,1.4,Other,10,8.1,10.0,
1459,Kimberly Raymond,14,Female,1.6,4.4,50.0,6,0.1,7,5,1,1,1.2,65,14,1.8,1.8,1.8,Social Media,9,3.8,7.1,
1460,Frank Johns,17,Other,4.5,10.0,65.0,5,1.8,5,5,4,0,0.6,38,15,2.8,1.4,0.8,Browsing,5,10.1,7.5,
1461,Mrs. Tonya Wilson MD,15,Male,6.3,8.1,79.0,5,0.9,4,10,6,0,0.8,95,17,2.4,1.7,0.2,Social Media,3,5.8,10.0,
1462,Melissa Wilson,16,Female,8.2,6.5,74.0,6,0.4,2,4,6,0,1.1,20,15,4.6,0.2,0.3,Other,6,10.0,10.0,
1463,Kimberly Cannon,14,Other,3.9,3.3,64.0,5,1.4,2,9,5,0,1.4,86,16,2.3,2.0,0.9,Other,4,7.4,10.0,
1464,Ryan Barnett,19,Male,5.4,5.7,57.0,0,1.1,4,8,4,1,0.8,94,12,4.1,2.3,0.7,Other,2,8.5,10.0,
1465,Jennifer Short,14,Female,7.2,6.5,80.0,0,0.0,8,4,4,1,1.4,121,6,1.9,1.6,0.7,Other,5,9.5,10.0,
1466,Justin Sutton,13,Female,2.2,6.6,61.0,3,0.0,7,6,5,1,0.0,104,12,2.9,0.3,1.6,Gaming,3,10.1,6.6,
1467,Kayla Lopez,17,Other,4.9,6.4,81.0,1,0.4,10,4,10,1,0.9,77,15,3.2,2.0,1.3,Browsing,2,4.7,10.0,
1468,David Gonzales,16,Other,3.5,4.6,52.0,6,3.0,9,3,4,1,1.6,96,8,3.3,1.3,0.0,Browsing,9,9.2,9.3,
1469,Kristin Bolton,14,Female,7.1,3.0,87.0,8,1.6,7,1,3,1,1.4,79,12,3.1,1.6,0.6,Browsing,3,5.7,10.0,
1470,Diana Smith,13,Other,6.0,5.3,93.0,5,2.3,2,10,8,1,1.7,61,9,3.4,1.1,1.8,Browsing,2,6.6,10.0,
1471,Diana Conner,15,Other,4.3,4.5,51.0,2,1.2,6,7,7,1,1.2,40,17,1.3,1.7,1.8,Browsing,7,5.2,9.2,
1472,Brenda Holland,14,Other,4.9,3.4,68.0,7,1.1,1,10,7,1,0.9,86,20,1.0,0.0,0.7,Browsing,8,5.8,9.9,
1473,Mark Williams,17,Female,5.3,7.8,71.0,1,1.8,7,5,2,1,1.1,37,19,3.0,1.6,1.1,Gaming,10,6.5,10.0,
1474,Melissa Clark,16,Other,6.4,6.5,90.0,6,0.4,7,2,3,0,1.5,54,14,1.3,1.7,1.9,Education,2,3.9,10.0,
1475,Mr. Thomas Rodriguez,18,Female,6.5,8.7,96.0,0,1.1,9,4,1,1,1.2,24,7,1.2,0.2,1.9,Browsing,3,5.5,5.4,
1476,Charles Navarro,19,Other,7.9,6.4,84.0,1,1.8,5,6,2,1,1.5,42,11,0.2,1.2,1.5,Gaming,2,6.1,9.1,
1477,Stephanie Collins,18,Other,3.7,5.7,50.0,3,1.3,3,8,1,1,0.8,104,10,3.0,1.7,1.2,Social Media,9,4.8,9.6,
1478,Yvette Holland,13,Other,4.9,6.6,56.0,9,1.8,2,7,5,0,1.0,53,7,2.0,0.0,0.5,Education,2,7.3,6.1,
1479,Rhonda Roberts,13,Male,3.0,6.8,62.0,9,1.3,2,1,1,0,1.6,44,18,5.0,1.5,1.1,Education,4,6.3,10.0,
1480,Michael Burch,17,Female,0.0,8.5,74.0,1,1.2,9,10,5,1,1.4,146,11,3.2,1.8,0.7,Education,3,7.9,5.9,
1481,Michelle Reed,16,Female,2.7,5.6,58.0,9,1.4,4,5,9,1,1.0,144,6,2.8,1.9,0.8,Education,10,4.9,8.7,
1482,Kimberly Rubio,15,Other,7.0,7.5,77.0,8,1.8,2,6,5,1,1.4,129,11,2.9,1.4,0.5,Education,7,7.3,10.0,
1483,Keith Pena,14,Other,5.5,8.4,89.0,8,2.0,6,6,2,0,1.6,89,19,2.9,2.6,1.4,Browsing,7,5.7,10.0,
1484,Michael Johnson,14,Female,7.3,3.7,52.0,0,0.5,2,9,5,0,1.3,66,6,3.0,3.1,0.0,Browsing,2,5.5,10.0,
1485,Darren Jones,13,Other,5.3,7.0,60.0,6,2.1,1,10,9,0,2.0,58,8,3.2,2.8,0.1,Other,6,9.3,10.0,
1486,Kara Wood,13,Other,5.7,4.5,90.0,6,1.3,8,2,4,1,1.3,61,12,2.2,0.7,0.9,Browsing,6,4.2,10.0,
1487,Barbara Woods,17,Male,3.2,6.4,58.0,0,0.9,1,1,3,1,0.6,87,5,0.7,3.2,0.0,Gaming,2,5.0,6.6,
1488,Steven Hall,19,Male,3.9,8.0,76.0,4,3.4,9,10,3,0,0.9,63,9,2.4,0.1,1.5,Other,6,8.0,5.5,
1489,Amanda Harris,19,Other,6.9,7.2,98.0,4,0.9,4,5,3,1,0.9,63,10,2.1,1.4,0.9,Browsing,4,3.3,10.0,
1490,Kristen Mitchell,17,Other,4.5,8.2,98.0,0,0.4,4,7,7,1,1.2,91,19,3.5,2.0,1.2,Education,1,5.0,10.0,
1491,Debra Moore,16,Other,3.9,7.1,52.0,7,0.9,3,4,7,1,0.7,65,8,2.0,2.5,0.9,Gaming,2,8.1,7.8,
1492,Rhonda Edwards,15,Female,7.0,4.2,58.0,10,1.2,9,5,10,1,2.0,60,5,3.1,2.0,1.4,Other,7,7.1,10.0,
1493,Edward Barker,15,Other,2.7,8.7,64.0,2,1.5,7,1,6,0,1.1,146,17,2.8,2.7,0.0,Education,4,8.1,10.0,
1494,Brian Lawrence,15,Other,4.1,6.7,61.0,6,0.3,1,6,9,1,1.1,99,8,2.7,1.7,0.3,Education,1,2.1,8.7,
1495,Paul Hernandez,13,Other,5.7,8.8,85.0,1,1.6,8,3,7,1,0.8,26,5,0.3,0.6,0.9,Other,5,9.1,3.7,
1496,Misty Wilson,14,Other,3.6,8.0,65.0,0,1.3,10,10,5,1,1.2,105,17,1.7,2.0,2.2,Education,9,6.5,8.8,
1497,Beth Price,16,Female,2.5,8.1,75.0,8,0.0,4,2,2,1,0.8,34,7,4.3,4.0,0.0,Education,4,8.4,8.8,
1498,Kristie Williams,17,Other,3.2,8.6,89.0,3,2.1,9,7,9,1,0.9,99,14,3.6,1.1,1.3,Other,1,6.5,8.4,
1499,William Cervantes,15,Female,5.2,8.2,56.0,0,1.9,9,10,6,1,0.0,144,15,1.7,1.0,1.2,Gaming,7,9.0,9.7,
1500,Debra Owen,19,Male,2.6,7.5,83.0,10,1.4,10,9,7,1,0.5,24,5,2.5,1.1,0.5,Education,2,6.5,3.9,
1501,Billy Baker,15,Other,5.4,7.0,73.0,2,0.5,3,3,10,0,0.8,113,13,3.3,0.5,2.4,Social Media,1,9.9,10.0,
1502,Susan Mcintosh,18,Other,1.9,7.3,97.0,8,1.0,4,5,8,1,0.8,139,17,1.7,1.9,1.5,Gaming,3,4.1,8.0,
1503,Kevin Perkins,15,Female,2.4,6.1,98.0,10,0.0,8,7,10,1,0.9,128,8,3.4,0.3,1.4,Browsing,4,3.0,7.2,
1504,Jill Maxwell,19,Male,5.4,6.0,98.0,2,0.4,9,8,6,1,1.2,25,9,3.8,1.8,1.1,Browsing,2,4.3,10.0,
1505,Jennifer Rosales,17,Other,6.6,5.9,91.0,4,1.2,8,10,3,1,1.9,110,18,2.3,0.9,1.4,Social Media,9,5.2,10.0,
1506,Jamie Munoz,19,Male,5.6,9.0,63.0,5,1.2,7,9,6,1,1.2,68,10,2.7,2.9,2.2,Social Media,1,5.7,10.0,
1507,Amanda Callahan,13,Female,6.3,6.3,72.0,1,0.0,7,8,8,1,0.8,38,9,2.9,0.8,0.7,Browsing,7,4.8,9.4,
1508,Ian Taylor,18,Male,7.2,6.4,62.0,6,1.2,2,9,2,0,1.1,108,6,2.6,1.5,0.5,Browsing,10,7.5,10.0,
1509,Theresa Avery,16,Male,3.2,3.1,90.0,1,0.8,8,6,7,1,1.2,76,8,3.9,2.6,0.5,Other,5,2.5,10.0,
1510,Jared Green,15,Male,0.0,6.9,88.0,4,0.1,8,6,7,0,0.8,107,12,3.9,2.8,0.7,Social Media,4,7.6,7.8,
1511,James Scott,14,Male,6.0,8.5,67.0,9,0.9,4,7,8,0,1.0,144,16,2.0,2.0,1.5,Gaming,2,4.2,10.0,
1512,Thomas Osborne,17,Female,5.5,5.8,54.0,8,0.8,4,7,1,1,1.3,54,13,1.5,1.7,1.0,Browsing,4,4.0,9.5,
1513,John Haynes,13,Male,8.9,7.0,90.0,0,0.6,4,9,3,1,1.0,110,10,3.4,0.8,1.2,Browsing,2,5.8,10.0,
1514,Amanda Gomez,13,Female,5.0,6.0,90.0,8,1.7,10,7,1,1,0.3,29,7,2.4,0.8,2.1,Social Media,1,7.7,7.2,
1515,Wesley Carey,19,Male,4.1,6.9,92.0,5,0.8,1,2,6,1,1.8,39,13,1.5,3.2,1.4,Gaming,3,5.5,8.7,
1516,Cynthia Sawyer,15,Female,0.9,5.8,92.0,8,1.2,8,1,1,1,1.5,119,14,2.6,1.9,0.0,Education,7,8.3,7.7,
1517,Kathleen Shelton,18,Other,3.7,7.4,54.0,7,0.2,8,7,7,0,0.5,21,19,3.0,0.7,0.3,Education,4,6.1,7.9,
1518,Neil Price,17,Female,5.1,5.0,82.0,5,1.9,7,1,3,0,0.9,63,18,1.9,2.4,0.4,Education,10,7.1,10.0,
1519,David Wall,18,Other,4.6,3.0,72.0,2,0.0,8,4,7,1,1.5,43,10,4.9,2.2,1.0,Browsing,9,6.0,10.0,
1520,Jordan Wolfe,16,Male,3.0,6.3,92.0,6,1.2,5,1,10,1,0.7,113,11,1.9,0.7,1.1,Gaming,5,9.2,6.9,
1521,Cindy Ortega,15,Female,5.1,7.1,71.0,4,1.4,6,9,10,0,1.6,146,9,1.6,3.3,0.5,Browsing,3,3.0,10.0,
1522,Stanley Fry,19,Female,5.5,3.1,90.0,6,0.9,8,3,4,1,1.7,57,12,2.0,0.5,1.1,Social Media,6,2.5,10.0,
1523,Angel Flores,19,Male,3.5,5.5,62.0,3,1.2,10,10,2,1,0.5,47,17,1.9,0.5,0.4,Education,2,7.1,7.5,
1524,Christine Ramsey DVM,16,Female,6.1,7.5,88.0,9,1.6,9,8,3,0,0.0,66,20,3.5,1.6,1.7,Browsing,10,7.6,10.0,
1525,Jessica Lewis,18,Female,7.1,6.4,64.0,9,0.1,5,5,10,0,1.3,54,15,1.9,1.8,0.8,Gaming,2,4.8,10.0,
1526,Ricardo Hayden,15,Other,7.7,6.5,64.0,7,0.1,3,10,7,0,0.2,76,5,2.4,0.3,1.3,Social Media,5,4.5,9.7,
1527,Olivia Contreras,18,Female,4.7,8.3,91.0,3,2.2,7,6,6,1,1.3,134,18,0.8,0.7,0.8,Gaming,3,7.3,8.3,
1528,Kimberly Young,14,Female,3.7,6.2,77.0,2,2.2,8,8,8,1,1.1,94,14,1.4,0.5,1.3,Other,7,4.7,7.2,
1529,Brian Whitaker,19,Female,2.5,5.6,67.0,0,2.0,1,8,1,0,0.5,113,11,3.0,2.2,2.6,Browsing,3,7.8,9.4,
1530,Brenda Brown,17,Female,1.6,6.4,55.0,10,0.5,8,9,10,1,0.3,92,16,3.4,1.7,1.5,Education,2,3.5,8.5,
